,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.010142588
0.25,6.68369E-05
0.5,-0.004159498
0.75,-0.000131335
1,-0.001668664
1.25,0.001307118
1.5,-4.13526E-05
1.75,-0.001209574
2,0.000269797
2.25,0.000867777
2.5,0.000145113
2.75,-0.001323976
3,0.001129104
3.25,-0.00052884
3.5,7.64597E-05
3.75,0.000533863
4,-0.000249351
4.25,-0.000507107
4.5,0.00087822
4.75,-0.000776257
5,0.00034751
5.25,-0.000162909
5.5,-0.000180198
5.75,0.000424661
6,-0.00052968
6.25,0.000458534
6.5,-0.000403699
6.75,0.000385857
7,1.87837E-06
7.25,0.000143831
7.5,-0.000382662
7.75,0.000304575
8,-0.000365672
8.25,0.000370691
8.5,-0.000107254
8.75,-2.93299E-05
9,3.9387E-05
9.25,-4.24963E-05
9.5,-0.00017773
9.75,0.000189446
10,-0.000107439
10.25,2.74959E-05
10.5,7.30746E-05
10.75,-2.90098E-05
11,-5.18334E-05
11.25,0.000286676
11.5,-0.000487439
11.75,9.11155E-05
12,0.000318764
12.25,-0.000121312
12.5,0.00014043
12.75,-0.000586073
13,0.000652495
13.25,-0.000154002
13.5,-9.81611E-05
13.75,0.000180145
14,-0.000300372
14.25,0.000214336
14.5,-0.000313838
14.75,0.000405595
15,-6.23897E-05
15.25,-0.000182936
15.5,-9.99279E-05
15.75,0.000369719
16,-0.00039022
16.25,8.29705E-05
16.5,0.000289136
16.75,-0.000295708
17,0.000173666
17.25,-1.29326E-05
17.5,-1.31014E-05
17.75,-2.32541E-05
18,-7.82767E-05
18.25,8.94244E-05
18.5,8.75603E-05
18.75,-0.00016983
19,-4.3405E-05
19.25,0.000108328
19.5,-6.19205E-06
19.75,-1.79547E-05
20,0.000146779
20.25,-0.000152966
20.5,-0.000120067
20.75,0.000257314
21,-0.000162472
21.25,0.000188824
21.5,-8.23878E-05
21.75,-0.000103238
22,4.97174E-06
22.25,0.000135523
22.5,-0.00038143
22.75,0.000672959
23,-0.000441622
23.25,-0.000132401
23.5,6.50475E-05
23.75,0.000626497
24,-0.000690836
24.25,0.002064356
24.5,-0.003798331
24.75,0.00165622
25,0.000387455
25.25,-0.000119011
25.5,-0.000217899
25.75,0.000487251
26,-0.000456669
26.25,0.000116116
26.5,0.000306832
26.75,-0.000352697
27,0.00030881
27.25,-0.000280738
27.5,6.04678E-05
27.75,2.03617E-05
28,-0.000120646
28.25,0.000297165
28.5,1.62245E-05
28.75,-0.000471877
29,0.000239957
29.25,7.67687E-06
29.5,3.5914E-05
29.75,0.000385481
30,-0.00070535
30.25,0.000405092
30.5,-0.000288413
30.75,0.000732572
