,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
740,0.002000083
742,-0.002920055
744,0.000573899
746,0.002768619
748,-0.00154162
750,0.000714131
752,-0.001774341
754,6.15E-05
756,0.001146258
758,0.001910482
760,-0.000556347
762,-0.004714962
764,0.004392973
766,0.000701287
768,-0.004730181
770,0.002593557
772,-0.000685127
774,0.00280263
776,-0.003256111
778,0.001615421
780,-0.000199105
782,-0.001554548
784,0.004155565
786,-0.00550441
788,0.006339991
790,-0.004718619
792,0.000780725
794,0.001279489
796,-0.001705695
798,0.002179535
800,-0.002657154
802,0.001051437
804,0.002868446
806,-0.004582882
808,0.000672717
810,0.003520104
812,-0.003444158
814,0.002582994
816,-0.00038232
818,-0.005503135
820,0.008197301
822,-0.003338262
824,-0.003026073
826,0.00511395
828,-0.004208335
830,0.002505252
832,-0.000642989
834,0.000237489
836,0.000113153
838,-0.000922248
840,0.000137171
842,0.004043027
844,-0.004742642
846,-0.002162646
848,0.003642046
850,-0.000328298
852,0.001432873
854,-0.000921545
856,-0.001299581
858,0.001209454
860,-0.003215637
862,0.005260274
864,-0.002110666
866,-0.00222637
868,0.001367655
870,0.000386917
872,0.002811745
874,-0.005266805
876,0.004220844
878,-0.003574216
880,0.002657428
882,0.000413886
884,-0.002976173
886,0.003670419
888,-0.003226419
890,0.003219656
892,-0.003671775
894,-0.000714207
896,0.004337334
898,0.000917044
900,-0.004735315
902,0.000535314
904,0.002627081
906,0.002214107
908,-0.006743675
910,0.002668936
912,0.004869661
914,-0.008708955
916,0.003876227
918,0.008439458
920,-0.010828443
922,0.002708562
924,0.001027162
926,-0.001577713
928,-0.003941773
930,0.009630729
932,-0.003374795
934,-0.009481614
936,0.016549655
938,-0.015443537
940,0.006219962
942,0.007125824
944,-0.008819465
946,0.000728065
948,0.0014816
950,0.002541823
952,-0.002838352
954,-0.002294924
956,0.00823107
958,-0.008336222
960,0.002863368
962,-0.001996126
964,-0.00093902
966,0.005078939
968,-0.005220831
970,0.009954861
972,-0.014638866
974,0.00844519
976,0.009277408
978,-0.017185528
980,0.010650408
982,-0.003497516
984,-0.004368697
986,0.005180165
988,0.002342393
990,-0.001995653
992,-0.002396147
994,0.004722765
996,-0.003029588
998,0.0007131
1000,-0.007182634
1002,0.005595166
1004,0.007125755
1006,-0.013544299
1008,0.013467158
1010,-0.013973788
1012,0.00988276
1014,0.002055537
1016,-0.010131515
1018,0.009858451
1020,-0.009879293
1022,0.014100122
1024,-0.011772456
1026,0.000756749
1028,0.004383404
1030,-0.005469197
1032,0.005099784
1034,-0.000658053
1036,0.000477208
1038,0.001167464
1040,-0.00498506
1042,-0.001298005
1044,0.006702988
1046,-0.003572351
1048,0.005020253
1050,-0.004875325
1052,0.000526872
1054,-0.001993915
1056,0.005984292
1058,-0.005288293
1060,0.002591233
1062,-0.007272589
1064,0.011113813
1066,-0.007680625
1068,0.005032975
1070,-0.003983289
1072,0.001057573
1074,0.000406481
1076,-0.000393428
1078,0.003713789
1080,-0.0055216
1082,-0.000544963
1084,0.0042
1086,-0.000669233
1088,-0.001315052
1090,0.000746077
1092,-0.001392559
1094,0.002247116
1096,0.000947864
1098,-0.005001129
1100,0.008754886
1102,-0.009305815
1104,0.006019139
1106,-0.006600431
1108,0.004432129
1110,0.00237235
1112,-0.005114133
1114,0.003987994
1116,-0.0014393
1118,-0.001140527
1120,0.000934114
1122,0.005064866
1124,-0.007714644
1126,0.002115056
1128,-0.001194695
1130,0.005704479
1132,-0.00416748
1134,0.000104774
1136,-0.000503652
1138,-8.97E-05
1140,0.00097489
1142,-0.000429047
1144,-0.001262487
1146,0.005168318
1148,-0.002701955
1150,-0.006779121
1152,0.009825403
1154,-0.006406649
1156,0.005369207
1158,-0.006811455
1160,0.004137875
1162,0.001166263
1164,-0.005306476
1166,0.007822422
1168,-0.003025206
1170,-0.002500525
1172,0.004446723
1174,-0.003665367
1176,-0.001662215
1178,0.003018712
1180,0.004401924
1182,-0.008922927
1184,0.002577973
1186,0.005438428
1188,-0.005193267
1190,-0.000475253
1192,0.001414692
1194,0.002347173
1196,-0.00761308
1198,0.01069616
1200,-0.008185935
1202,0.005160956
1204,-0.001680488
1206,0.000375974
1208,-0.004994694
1210,0.006740671
1212,-0.003437199
1214,-0.000810297
1216,0.004314229
1218,-0.004236117
1220,0.002983789
1222,-0.002086805
1224,2.21E-05
1226,0.000151696
1228,0.003690533
1230,-0.004937828
1232,0.002401633
1234,-0.00365758
1236,0.005046797
1238,-0.003775225
1240,0.004006846
1242,-0.004751284
1244,0.004186941
1246,-4.08E-05
1248,-0.005694233
1250,0.00927225
1252,-0.009368745
1254,0.006245439
1256,-0.003917196
1258,0.001598527
1260,0.003599029
1262,-0.003594326
1264,0.00203665
1266,-0.008546237
1268,0.006749979
1270,0.000579062
1272,-0.002524636
1274,0.006214419
1276,-0.003215858
1278,-0.002267048
1280,0.00208737
1282,-0.002707584
1284,0.001948457
1286,-0.002092667
1288,0.004586651
1290,-0.001810293
1292,3.24E-05
1294,-0.005315978
1296,0.009038508
1298,-0.009105784
1300,0.005853488
1302,-0.002852218
1304,0.001670859
1306,0.001594414
1308,-0.000889066
1310,-0.000961064
1312,-0.001833907
1314,-0.001436045
1316,0.008722552
1318,-0.006832013
1320,-0.00191927
1322,0.006566677
1324,-0.001224953
1326,-0.003303989
1328,0.002409402
1330,-0.003140422
1332,0.003675971
1334,0.000509485
1336,-0.00704696
1338,0.006915994
1340,-0.003701871
1342,0.001565417
1344,0.001543124
1346,0.000819788
1348,-0.005950149
1350,0.008780923
1352,-0.006744711
1354,-2.26E-05
1356,0.005887444
1358,-0.002720718
1360,-0.011657206
1362,0.016382182
1364,-0.005690109
1366,-0.003857144
1368,0.005718407
1370,-0.006199383
1372,0.006398466
1374,-0.002855694
1376,-0.000289736
1378,0.001943353
1380,-9.44E-06
1382,-0.002747952
1384,0.000992621
1386,0.001501718
1388,0.000194813
1390,-0.01135971
1392,0.022441676
1394,-0.0166724
1396,0.003367024
1398,-0.001185593
1400,0.000582283
1402,0.007125433
1404,-8.40E-05
1406,-0.009802277
1408,0.005309599
1410,-0.002586112
1412,-0.000406013
1414,0.00180664
1416,0.000272753
1418,0.004237439
1420,-0.008549509
1422,0.004727835
1424,-0.001130408
1426,-0.000262532
1428,0.004462509
1430,-0.005114517
1432,0.001737825
1434,0.00108108
1436,-0.000688509
1438,-0.001746601
1440,-0.004196959
1442,0.009888347
1444,-0.005958506
1446,0.00471405
1448,-0.005452668
1450,0.005397397
1452,-0.005954224
1454,0.003272639
1456,-0.003534929
1458,0.002239686
1460,0.001749057
1462,0.000884616
1464,-0.003083425
1466,-0.001264207
1468,0.002005411
1470,0.002963717
1472,-0.001462367
1474,-0.002010332
1476,-0.000958854
1478,0.003580746
1480,-0.001652384
1482,-0.003859518
1484,0.003350137
1486,0.004906742
1488,-0.002003481
1490,-0.004208768
1492,0.00021695
1494,0.002339852
1496,0.000136756
1498,-0.00154086
1500,0.000448089
1502,0.002522036
1504,-0.00554218
1506,-0.001278543
1508,0.011431444
1510,-0.006866489
1512,-0.002364704
1514,0.002463638
1516,-0.001032791
1518,0.005529646
1520,-0.007441175
1522,0.004173132
1524,6.64E-05
1526,-0.0059503
1528,0.008317929
1530,-0.01202334
1532,0.01292442
1534,0.002134236
1536,-0.016582839
1538,0.009827588
1540,0.001202653
1542,-0.003272672
1544,0.013696222
1546,-0.013888289
1548,-0.005018375
1550,0.017767043
1552,-0.020134852
1554,0.007273307
1556,0.005654902
1558,0.004373318
1560,-0.015906244
1562,0.006013255
1564,0.015700492
1566,-0.013210632
1568,-0.013694612
1570,0.026769847
1572,-0.01615269
1574,0.002130314
1576,-0.015349069
1578,0.024545234
1580,-0.000194383
1582,-0.016472421
