S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.019731325664906763
0.0625,-0.010853644198505208
0.125,0.00019461961642264214
0.1875,0.0021879325231566327
0.25,-0.0012948567018611357
0.3125,-0.00034579355201458384
0.375,0.001361002091471164
0.4375,-0.0010790736268972978
0.5,-0.0015648092812625691
0.5625,0.001375089595967438
0.625,0.0005741514996771002
0.6875,-0.0007332669724746665
0.75,0.0004523946302015247
0.8125,0.0009011980068862613
0.875,-0.0016461602854178636
0.9375,0.0002988290930261428
1,0.00012346589528533514
1.0625,0.0005586523457168369
1.125,-0.0007817499181328458
1.1875,0.0010822076319527696
1.25,-0.0010300209396518767
1.3125,0.00010035950737119492
1.375,0.0004151036421262688
1.4375,6.916490491448712e-05
1.5,-0.0003059402047256299
1.5625,-0.00010536189876120261
1.625,0.0003373123433902947
1.6875,-0.0002752484533630195
1.75,0.00032850925890670624
1.8125,-0.0003669173054277053
1.875,0.00033967947388191533
1.9375,-0.0006928560765118164
2,0.0010672632697605877
2.0625,-0.0009463506671636424
2.125,0.0007638647616659
2.1875,-0.0003204666541023471
2.25,-0.0006391535407601623
2.3125,0.0005218735168455169
2.375,0.0006694793341921468
2.4375,-0.0004945314344695362
2.5,-0.00023519203296018532
2.5625,0.0001357261538714738
2.625,-0.00036891398735861003
2.6875,0.0003818461777882476
2.75,-0.00015482511628306383
2.8125,0.0004677911533690349
2.875,-0.00022160911328228394
2.9375,-5.651629919611878e-05
3,-0.0002946850372609333
3.0625,0.00022474502259228757
3.125,-0.00013001552190416987
3.1875,0.0003280683813500218
3.25,-0.00030747014534426853
3.3125,0.000428944844088619
3.375,-0.0003817337130840315
3.4375,5.392698199102597e-05
3.5,-0.0005147655315340671
3.5625,0.0008322522830894741
3.625,-0.0002456053209698439
3.6875,-4.077258708434783e-05
3.75,-0.00011835495428158538
3.8125,1.40781155621994e-05
3.875,0.0002254068931506481
3.9375,-0.00023640949109449139
4,0.00019004097850938706
4.0625,5.997639362931295e-05
4.125,-0.0002492981820978457
4.1875,-9.007969481444889e-05
4.25,0.0006564348495885497
4.3125,-0.0003817530682681536
4.375,-0.00030756905289308634
4.4375,4.68097347550156e-05
4.5,0.00045861074227104837
4.5625,-0.0003124181944258453
4.625,4.333719161309091e-05
4.6875,-0.00013750607763540756
4.75,-2.116613329050665e-06
4.8125,0.00023198870735541277
4.875,-1.4295420402987702e-06
4.9375,-0.00037544245401477383
5,0.0003218270592242334
5.0625,8.319557309732772e-05
5.125,-0.0002743003619798401
5.1875,0.00019383048766030697
5.25,-9.6617426947887e-05
5.3125,0.00019703256270986458
5.375,-0.00016603377162027755
